N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
149,솔루스첨단소재,"61,500",200,+0.33%,100,"18,813","30,590",6.36,"115,951",-242.13,-5.10,
150,영원무역,"41,800",900,+2.20%,500,"18,522","44,311",28.51,"53,836",8.04,8.03,
151,현대백화점,"77,700",200,+0.26%,"5,000","18,184","23,402",18.26,"59,006",11.75,1.65,
152,후성,"19,500",50,+0.26%,500,"18,058","92,607",6.63,"531,574",65.66,2.79,
153,KODEX MSCI Korea TR,"11,815",40,-0.34%,0,"18,042","152,700",5.83,"9,447",N/A,N/A,
154,현대위아,"64,500",500,+0.78%,"5,000","17,541","27,195",6.99,"48,301",48.06,1.96,
155,효성,"82,500",700,+0.86%,"5,000","17,384","21,071",7.96,"10,308",4.49,-2.26,
156,대웅,"29,600",250,+0.85%,500,"17,210","58,142",4.29,"37,964",16.30,15.10,
157,한샘,"73,100","1,300",+1.81%,"1,000","17,203","23,534",16.27,"23,825",21.51,10.83,
158,코오롱인더,"62,400",900,+1.46%,"5,000","17,172","27,519",20.17,"62,394",9.68,9.70,
159,두산,"102,500","7,200",+7.56%,"5,000","16,937","16,524",10.79,"76,323",-59.04,-34.34,
160,아이에스동서,"54,800","1,800",+3.40%,500,"16,929","30,893",4.08,"110,814",31.39,10.92,
161,한미반도체,"33,400",100,+0.30%,200,"16,520","49,460",5.91,"65,359",19.86,21.03,
162,오뚜기,"444,000",500,-0.11%,"5,000","16,304","3,672",11.63,813,14.74,7.93,
163,JB금융지주,"8,220",10,+0.12%,"5,000","16,192","196,983",42.07,"58,875",3.39,10.06,
164,한전KPS,"35,550",650,+1.86%,200,"15,998","45,000",7.32,"97,709",13.24,8.23,
165,DGB금융지주,"9,320",30,-0.32%,"5,000","15,764","169,146",50.14,"108,584",3.33,6.93,
166,KODEX 단기채권,"103,230",0,0.00%,0,"15,660","15,170",0.00,"26,942",N/A,N/A,
167,동원시스템즈,"53,600","1,300",+2.49%,"5,000","15,645","29,188",13.14,"19,908",24.28,10.97,
168,더존비즈온,"50,800",200,-0.39%,500,"15,434","30,383",38.23,"41,508",24.87,15.09,
169,LS,"47,800",0,0.00%,"5,000","15,392","32,200",13.51,"36,241",6.01,3.94,
170,TIGER MSCI Korea TR,"14,840",35,-0.24%,0,"15,300","103,100",16.59,977,N/A,N/A,
171,KODEX 삼성그룹,"8,940",20,-0.22%,0,"15,278","170,900",0.16,"92,054",N/A,N/A,
172,동국제강,"15,850",350,+2.26%,"5,000","15,126","95,433",22.60,"526,527",3.35,3.35,
173,현대엘리베이,"36,950",300,+0.82%,"5,000","15,081","40,815",29.86,"51,041",23.81,9.78,
174,일진하이솔루스,"41,250",500,-1.20%,500,"14,979","36,313",1.62,"56,007",76.96,34.27,
175,케이카,"30,950",550,+1.81%,500,"14,883","48,087",18.01,"104,897",51.41,15.11,
176,롯데칠성,"160,000","4,500",-2.74%,500,"14,846","9,279",9.62,"23,639",18.91,-1.00,
177,아시아나항공,"19,250",850,-4.23%,"5,000","14,324","74,412",7.55,"785,484",-3.31,-43.83,
178,KODEX 종합채권(AA-이상)액티브,"106,080",15,+0.01%,0,"14,155","13,344",0.00,"6,382",N/A,N/A,
179,롯데렌탈,"38,200",0,0.00%,"5,000","13,994","36,634",1.84,"109,397",13.25,6.73,
180,TIGER 단기통안채,"100,630",10,+0.01%,0,"13,477","13,393",0.88,"60,363",N/A,N/A,
181,LIG넥스원,"60,800",400,-0.65%,"5,000","13,376","22,000",5.67,"108,912",14.17,8.86,
182,롯데리츠,"5,480",20,-0.36%,500,"13,315","242,969",9.58,"54,193",34.25,1.68,
183,TIGER 미국S&P500,"12,955",90,+0.70%,0,"13,246","102,250",0.03,"615,158",N/A,N/A,
184,티와이홀딩스,"26,000",100,+0.39%,500,"13,242","50,929",5.27,"14,637",2.24,N/A,
185,현대두산인프라코어,"6,640",100,+1.53%,"1,000","13,110","197,436",9.85,"493,072",5.68,6.47,
186,NHN,"34,550",250,-0.72%,500,"12,962","37,518",19.29,"33,737",39.90,1.35,
187,ESR켄달스퀘어리츠,"6,040",10,-0.17%,"1,000","12,871","213,089",31.71,"54,701",46.82,1.34,
188,DL,"60,900",800,+1.33%,"5,000","12,762","20,956",12.28,"22,711",1.94,11.84,
189,PI첨단소재,"43,150",750,+1.77%,500,"12,672","29,366",12.24,"36,170",21.66,15.62,
190,신풍제약,"23,900",250,+1.06%,500,"12,663","52,985",10.53,"319,757","3,983.33",1.72,
191,한일시멘트,"18,200",100,+0.55%,500,"12,606","69,262",2.61,"30,145",11.99,N/A,
192,한국앤컴퍼니,"13,250",50,-0.38%,500,"12,579","94,935",9.68,"14,756",5.09,5.08,
193,대한전선,"1,465",30,+2.09%,100,"12,547","856,473",1.60,"6,651,915",40.69,0.92,
194,명신산업,"23,900",350,+1.49%,500,"12,540","52,470",2.81,"163,064",-10.36,-67.39,
195,LS ELECTRIC,"41,600","1,350",+3.35%,"5,000","12,480","30,000",17.46,"116,068",15.40,6.15,
196,TIGER 미국테크TOP10 INDXX,"11,130",195,+1.78%,0,"12,126","108,950",0.00,"365,673",N/A,N/A,
197,롯데관광개발,"17,500",350,-1.96%,500,"12,123","69,276",5.49,"344,029",-6.13,-30.43,
198,지누스,"75,700","4,500",+6.32%,500,"11,961","15,800",21.40,"72,153",33.35,11.61,
199,에스엘,"24,800",100,+0.40%,500,"11,954","48,203",14.91,"25,817",8.22,4.74,
200,코리안리,"9,870",70,+0.71%,500,"11,880","120,369",31.82,"51,420",7.56,5.78,
